しゃもじ,木製,可燃ごみ,,
砂利,水槽用などの少量のもの,可燃ごみ,
シャンプー・リンスの容器,,容器包装プラスチック類,中身を出さし切る
ジューサーミキサー,,不燃ごみ,
じゅうたん,,不燃ごみ,1辺1.2メートル未満にたたむ
充電器（携帯電話用）,,不燃ごみ,
充電式電池,,不燃ごみ,
収納ケース,金属製,資源品（金属類）,
収納ケース,プラスチック製,不燃ごみ,,
収納ケース,紙製,資源品(雑誌・ざつ紙類）,,
シュレッダー（家庭用）,,不燃ごみ,手動・電動のいずれも
シュレッダーくず,,可燃ごみ,
瞬間湯沸器,,資源品（金属類）,自己施工のみ
背負子（しょいこ）,,不燃ごみ,荷物をくくって背負うための木製の枠
消火器,未使用のもの,収集できないごみ,回収協力店に依頼する（有料）→回収協力店を調べる
定規,プラスチック製,不燃ごみ,
定規,金属製,資源品（金属類）（空カン用袋）,,
定規,"木製、30cメートル以上",不燃ごみ,,
定規,"木製、30cメートル以内",可燃ごみ,,
将棋盤,,不燃ごみ,
将棋の駒,木製,可燃ごみ,
将棋の駒,プラスチック製,不燃ごみ,,
焼却炉,金属製,資源品（金属類）,"3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040"
焼却炉,ブロック製,収集できないごみ,廃棄物処理業者に依頼する（有料）,
食卓テーブル,1辺1.2メートル未満,不燃ごみ,
食卓テーブル,1辺1.2メートル以上,粗大ごみ,,
錠剤のシート,,容器包装プラスチック類,
障子紙,,可燃ごみ,未使用のものは「資源品（雑誌・ざつ紙類）」
障子戸,,不燃ごみ,1.8メートル×0.9メートル程度の大きさで自己施工のもの
消臭剤,,不燃ごみ,
浄水器,,不燃ごみ,
浄水器のカートリッジ,アルミ製カバー,資源品（金属類）（空カン用袋）,カートリッジの本体周りがアルミ製であること
浄水器のカートリッジ,プラスチック製カバー,不燃ごみ,,
使用済み注射針,,収集できないごみ,医療機関または薬局へ返却する
ジョーバ（健康器具）,,粗大ごみ,
照明器具,,不燃ごみ,蛍光管は取り外して「有害ごみ」
じょうろ,プラスチック製,不燃ごみ,
じょうろ,金属製,資源品（金属類）（空カン用袋）,,
しょう油のプラスチックボトル,,資源品（ＰＥＴボトル）,
食用油,,可燃ごみ,固めるかボロ布・紙に吸わせる
除湿機,,不燃ごみ,
除湿剤,袋に入っているもの,可燃ごみ,
除湿剤,プラスチックケース,容器包装プラスチック類,中の水は出す/中が出せないものは「不燃ごみ」,
食器,プラスチック製,不燃ごみ,
食器,金属製,資源品（金属類）（空カン用袋）,,
食器,陶磁器,不燃ごみ,,
食器,紙製,可燃ごみ,,
ガラス製,不燃ごみ,,
食器洗い機,,不燃ごみ,本体がステンレスなら資源品（金属類)
食器乾燥機,,不燃ごみ,本体がステンレスなら資源品（金属類)
食器棚,,粗大ごみ,1辺1.2メートル未満のものは「不燃ごみ」
人工芝,,不燃ごみ,
新聞紙（折込広告を含む）,,資源品（新聞紙）,
吸殻,,可燃ごみ,
水銀体温計,,有害ごみ,
水槽,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
水中眼鏡,,不燃ごみ,
水筒,"プラスチック製、魔法瓶",不燃ごみ,
水筒,金属製,資源品（金属類）（空カン用袋）,,
炊飯器,電気炊飯器,不燃ごみ,内釜は「資源品（金属類）」/本体周りがステンレス製なら本体も「資源品（金属類）」
炊飯器,ガス炊飯器,資源品（金属類）,,
炊飯器の内釜,,資源品（金属類）（空カン用袋）,
スーツケース,,不燃ごみ,
"スーパーの袋（レジ袋、ポリ袋）",,容器包装プラスチック類,
スカーフ,,資源品(古着・古布類）,
姿見,,不燃ごみ,
スキー用品,スキー板,不燃ごみ,
スキー用品,ストック（金属製）,資源品（金属類）,,
スキー用品,ストック（プラスチック製）,不燃ごみ,,
スキー用品,"スキーウエア、手袋、靴",不燃ごみ,,
スキャナー,,不燃ごみ,家庭用に限る
スクリーン,,資源品（金属類）,ケースや軸が金属製のもの
スケート靴,,不燃ごみ,
スケートボード,,不燃ごみ,
スケール,プラスチック製,不燃ごみ,
スケール,金属製,資源品（金属類）（空き缶袋）,,
スケール,"木製、30センチメートル以上",不燃ごみ,,
スケール,"木製、30センチメートル以内",可燃ごみ,,
スケッチブック,,資源品（雑誌・ざつ紙類）,使用済みのものは「可燃ごみ」
スコップ,金属製,資源品（金属類）（空カン用袋）,
スコップ,プラスチック製,不燃ごみ,,
硯（すずり）,,不燃ごみ,
すだれ,,不燃ごみ,1辺1.2メートル未満にたたむ
スタンド（電気スタンド）,,不燃ごみ,
スタンプ台,,不燃ごみ,
スチール机,,資源品（金属類）,"3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040"
スチール物置,,資源品（金属類）,"3メートル、30キログラムを超えるものは資源組合で直接回収?電話番号04-7131-1040"
ズック靴,,不燃ごみ,
ステレオ,,不燃ごみ,
"ストーブ（電気、ガス、石油とも）",,資源品（金属類）,灯油は抜くか使い切る/乾電池は取り外して「有害ごみ」
ストッキング,,資源品（古着・古布類）,
スニーカー,,不燃ごみ,
スノーボード,,不燃ごみ,
"すのこ（木製、プラスチック製とも）",,不燃ごみ,
スパイクシューズ,,不燃ごみ,
スパナ,,資源品（金属類）（空カン用袋）,
スピーカー,,不燃ごみ,
スプーン,金属製,資源品（金属類）（空カン用袋）,柄が金属でなくても可
スプーン,金属製以外のもの,不燃ごみ,,
スプリング入りマットレス,,粗大ごみ,
スプレー缶,,資源品（空カン類）,使い切り穴を開ける
滑り台,金属製,資源品（金属類）,"3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040"
その他,不燃ごみ,分解して1.2メートル未満にする,
スポーツバッグ,,不燃ごみ,
スポンジ,,不燃ごみ,
ズボンプレッサー,,不燃ごみ,
炭,,可燃ごみ,
スリッパ,,不燃ごみ,
製図台,金属製,資源品（金属類）,"3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040"
製図台,木製,粗大ごみ,,
製氷皿,,不燃ごみ,
整理ダンス,1辺1.2メートル未満,不燃ごみ,
整理ダンス,1辺1.2メートル以上,粗大ごみ,,
せいろ,,不燃ごみ,
石油缶,,資源品（金属類）,中は空にする
石油ストーブ,,資源品（金属類）,灯油は抜くか使い切る
石油ファンヒーター,,資源品（金属類）,灯油は抜くか使い切る
石油ポンプ,,不燃ごみ,電動式の電池は取り外して「有害ごみ」
せっけん,,可燃ごみ,
接着剤,少量,可燃ごみ,固めるかボロ布・紙に吸わせる
接着剤,多量,収集できないごみ,少量ずつ出すか廃棄物処理業者に依頼する（有料）,
接着剤の容器,金属製,資源品（空カン類）,中は空にする
接着剤の容器,プラスチック製,容器包装プラスチック類,中が残って固まっている場合は「可燃ごみ」,
背広ケース,,不燃ごみ,
セメントの粉,少量,可燃ごみ,生ごみ等に混ぜて出す
セメントの粉,多量,収集できないごみ,少量ずつ出すか廃棄物処理業者に依頼する（有料）,
セメントの粉,固まったもの,収集できないごみ,,
セラミックファンヒーター,,不燃ごみ,
セロテープ,,可燃ごみ,
洗剤の容器（粉洗剤）,プラスチック製,容器包装プラスチック類,中の計量スプーンは「不燃ごみ」
洗剤の容器（粉洗剤）,紙製,可燃ごみ,匂いが残って資源化不適のため,
洗剤の容器（液体洗剤・柔軟材容器を含む）,容器包装プラスチック類,使いきって中をすすぐ,
扇子,,可燃ごみ,
洗濯機,,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
洗濯機の付属品（プラスチック製）,,不燃ごみ,
洗濯ネット,,不燃ごみ,
洗濯ばさみ,,不燃ごみ,
洗濯物干し,枠が金属製,資源品（金属類）,枠に洗濯ばさみの付いているもの
洗濯物干し,枠がプラスチック製,不燃ごみ,枠に洗濯ばさみの付いているもの,
剪定材,太さ5cメートル以内,不燃ごみ,
剪定材,太さ5cメートルを超える,収集できないごみ,,
栓抜き,,資源品（金属類）（空カン用袋）,
扇風機,,不燃ごみ,
洗面器,プラスチック製,不燃ごみ,
洗面器,金属製,資源品（金属類）（空カン用袋）,,
洗面台,,粗大ごみ,自己施工のみ
造花,,不燃ごみ,
双眼鏡,,不燃ごみ,
雑巾,,可燃ごみ,
掃除機,,不燃ごみ,
草履,,不燃ごみ,
卒業アルバム,,可燃ごみ,布張り・ビニールコーティングの表紙が多いため
側溝清掃の泥,,収集できないごみ,道路管理課に依頼する電話番号04-7167-1299
ソファー,,粗大ごみ,腰掛ける人数3人分までを1点扱い
そり（子供用玩具）,,不燃ごみ,
品名,形態・材質,ごみ種別,出し方の注意
体温計,水銀体温計,有害ごみ,体温計だけを透明な袋に入れて出す
体温計,電子体温計,不燃ごみ,,
耐火金庫,,収集できないごみ,廃棄物処理業者に依頼する（有料）
台車,,資源品（金属類）,「資源品」と表示する
体重計,,資源品（金属類）,外側がプラスチックでも可
台所マット,,不燃ごみ,
ダイニングチェア,,不燃ごみ,
耐熱ガラス容器,,不燃ごみ,
ダイビング用ウエア,,不燃ごみ,
タイプライター,,資源品（金属類）,バラバラにならないようにする
タイマー,,不燃ごみ,
タイヤ,自動車用,収集できないごみ,回収協力店に依頼する（有料）→回収協力店を調べる
タイヤ,自転車用,不燃ごみ,,
タイヤ,オートバイ用,収集できないごみ,回収協力店に依頼する（有料）→回収協力店を調べる,
タイヤチェーン,金属製,資源品（金属類）,
タイヤチェーン,プラスチック製,不燃ごみ,,
タイヤホイール,,資源品（金属類）,個人で取り替えた場合に限る
タイル（自己施工したもの）,,不燃ごみ（少量）,"軽トラック1台で運べる程度であれば、事前に北部CCへ電話連絡の上直接搬入可能"
ダウンジャケット,,不燃ごみ,
タオル＝タオルケット,,資源品(古着・古布類）,ペット使用のものは「ペット使用」と表示し「不燃ごみ」
高枝バサミ,,資源品（金属類）（空カン用袋）,危なくないよう刃先を紙で包む
竹ざお,太さ5cメートル以内,不燃ごみ,
竹ざお,太さ5cメートルを超える,収集できないごみ,,
竹ぼうき,,不燃ごみ,
畳（1回の搬入枚数5?6枚まで）,,収集できないごみ,"北部・南部クリーンセンターに持ち込み可。藁床が使われている場合、3?4分割に要裁断"
畳おもて,,不燃ごみ,1.2メートル未満にたたむ
卓球台,,粗大ごみ,
脱臭剤,,不燃ごみ,
タッパー容器,,不燃ごみ,
縦笛（リコーダー）,,不燃ごみ,
たばこの吸殻,,可燃ごみ,
足袋,,資源品（古着・古布類）,
卵パック,プラスチック製,容器包装プラスチック類,
卵パック,紙製,可燃ごみ,,
玉じゃくし,金属製,資源品（金属類）（空カン用袋）,柄が金属でなくても可
玉じゃくし,プラスチック製,不燃ごみ,,
たらい,,資源品（金属類）,
樽,1辺1.2メートル.未満,不燃ごみ,
樽,1辺1.2メートル.以上,粗大ごみ,,
たわし,,不燃ごみ,
炭酸カルシウム入り袋,,容器包装プラスチック類,不燃ごみ用の袋として使用可
たんす,,粗大ごみ,1辺1.2メートル未満のものは「不燃ごみ」
たんぜん,綿入り,不燃ごみ,
たんぜん,綿なし,資源品(古着・古布類）,,
ダンベル,金属製,資源品（金属類）,
ダンベル,プラスチック製,不燃ごみ,中に水を充填して使用するもの,
ダンベル,コーティング,収集できないごみ,"コンクリート、砂鉄などを固めてコーティングしたもの/北部クリーンセンターに直接搬入可",
段ボール,,資源品（段ボール）,
チャイルドシート,,不燃ごみ,
チャッカマン,,有害ごみ,使い捨てライターと同等
茶箱,,不燃ごみ,
茶碗,,不燃ごみ,
中華なべ,,資源品（金属類）（空カン用袋）,
"注射器、注射針（在宅医療で使用したもの）",収集できないごみ,"医療機関へ返却する返却できない場合、北部または南部クリーンセンターへ事前に電話連絡の上、直接搬入可",
"チューブ類（わさび、からし、歯磨き等）",容器包装プラスチック類,中身を使い切る,
チューブ製容器（金属製）,,資源品（金属類）（空カン用袋）,中身を使い切る
彫刻刀,,資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
ちらし（新聞折込）,,資源品（新聞紙）,
ちり紙,,可燃ごみ,
つえ,,不燃ごみ,
使い捨てカイロ,,可燃ごみ,
使い捨てカメラ,,不燃ごみ,できるだけ写真現像取扱店へ
使い捨て注射針,,収集できないごみ,"医療機関へ返却する返却できない場合、北部または南部クリーンセンターへ事前に電話連絡の上、直接搬入可"
使い捨てライター,,有害ごみ,ガスは使い切る/ライターだけを透明な袋に入れる
机,学習机（木製）,粗大ごみ,椅子とセットで1点扱い/スチール製なら「資源品（金属類）」
机,スチール机,資源品（金属類）,"3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040",
机,パソコンデスク,資源品（金属類）,木製で1辺1.2メートル未満なら「不燃ごみ」,
机,テーブル、ちゃぶ台",不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」,
漬物石（市販のものを含む）,,収集できないごみ,一人で持てる重さまで北部クリーンセンターへ直接搬入可
漬物の袋,,容器包装プラスチック類,中を軽くすすぐ/付着物が取れなければ「可燃ごみ」
土,,収集できないごみ,
突っ張り棒,プラスチック製,不燃ごみ,スチール製なら「資源品（金属類）」
つぼ,,不燃ごみ,
爪楊枝,,可燃ごみ,
積み木,木製,可燃ごみ,
積み木,プラスチック製,不燃ごみ,,
爪きり,,資源品（金属類）（空カン用袋）,
釣糸（プラスチック製）,,可燃ごみ,
釣竿,,不燃ごみ,
ＤＶＤ,,不燃ごみ,
ＤＶＤプレーヤー,,不燃ごみ,
定期券,,可燃ごみ,できるだけ定期券販売窓口へ返却
ディスプレイ（パソコン用）,,収集できないごみ,資源有効利用促進法に基づいて処理
ティッシュペーパー,,可燃ごみ,
テープ,紙・布製,可燃ごみ,
テープ,ビニール紐,不燃ごみ,できるだけ1メートルほどに切って出す,
テープ,ガムテープ・セロテープ,可燃ごみ,,
テープ,カセット・ビデオ・8メートルメートル,可燃ごみ,紐で束ねても排出可/ケースに入れたままで可,
テープ,オープンリール,可燃ごみ,巻き取り部分が金属なら「資源品（金属類）」,
テーブル,,不燃ごみ,脚の材質は問わない/1辺1.2メートル以上のものは「粗大ごみ」
テーブルクロス,"布製、レース製",資源品(古着・古布類）,
テーブルクロス,プラスチック製,不燃ごみ,1辺1.2メートル未満にたたむ,
手鏡,,不燃ごみ,
デジタルカメラ,,不燃ごみ,
デスクマット,,不燃ごみ,
鉄アレイ,金属製,資源品(金属類）,
鉄アレイ,プラスチック製,不燃ごみ,中に水を充填して使用するもの,
鉄アレイ,コーティング,収集できないごみ,"コンクリート、砂鉄などを固めてコーティングしたもの/北部CCに直接搬入可",
テニス用品,テニスラケット,不燃ごみ,
テニス用品,テニスボール,不燃ごみ,,
テニス用品,テニスウエア,資源品（古着・古布類）,,
手袋,"革製、毛糸製",資源品(古着・古布類）,
手袋,ゴム手袋,不燃ごみ,,
手袋,スキー用,不燃ごみ,,
テフロン加工の鍋,,資源品（金属類）（空カン用袋）,
テレビ,ブラウン管テレビ,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
テレビ,液晶、プラズマ",収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる,
テレビゲーム機,,不燃ごみ,
テレビ台,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
テレホンカード,,可燃ごみ,
天眼鏡,,不燃ごみ,
電気あんか,,不燃ごみ,
電気温水器,,不燃ごみ,
電気カーペット,,不燃ごみ,1辺1.2メートル未満にたたむ
電気剃刀,,不燃ごみ,
電気コード,,不燃ごみ,
電気こたつ,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
電気炊飯器,,不燃ごみ,内釜は「資源品（金属類）」/本体周りがステンレス製なら本体も「資源品（金属類）」
電気スタンド,,不燃ごみ,
電気ストーブ,,資源品（金属類）,
電気ヒーター,,資源品（金属類）,
電気ポット,,不燃ごみ,
電気毛布,,不燃ごみ,1辺1.2メートル未満にたたむ
電球,,不燃ごみ,
電磁調理器,,資源品（金属類）,
電子体温計,,不燃ごみ,水銀体温計は「有害ごみ」
電子ピアノ,,粗大ごみ,
電子レンジ,,資源品（金属類）,耐熱ガラスやセラミック製の皿は「不燃ごみ」
電子レンジ台,,資源品（金属類）,
天体望遠鏡,,不燃ごみ,
電卓,,不燃ごみ,
電池,乾電池,有害ごみ,電池だけ透明な袋に入れる
電池,充電式電池,不燃ごみ,,
"点滴パック、チューブ（在宅医療に用いたもの）",収集できないごみ,医療機関へ返却する,
テント,,不燃ごみ,金属製のパイプ部分は「資源品（金属類）」
電動自転車,,資源品（金属類）,サドルに「資源品」と表示する/バッテリーは外して「有害ごみ」（車のバッテリーのように液が入っているものは不可）
天ぷら油,,可燃ごみ,固めるか布などに染み込ませる
電話機,,不燃ごみ,
電話帳,,資源品（雑誌・ざつ紙類）,またはＮＴＴが引き取り
ドア,,不燃ごみ,自己施工分のみ
ドアノブ,,資源品（金属類）（空カン用袋）,
砥石,,不燃ごみ,
トイレットペーパーの芯,,資源品（雑誌・ざつ紙類）,
トイレ用品,"トイレコーナー、ブラシ、マット",不燃ごみ,
トイレ用品,便座カバー,可燃ごみ,,
陶磁器,,不燃ごみ,
動物の糞,,可燃ごみ,遮水を施し紙等でくるむ
灯油,,収集できないごみ,購入店やガソリンスタンドへ引取りを依頼する（有料の場合あり）
トースター,,資源品（金属類）,
"籐製品（ラック、籠、棚など）",,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
時計,,不燃ごみ,
戸棚,1辺1.2メートル.未満,不燃ごみ,
戸棚,1辺1.2メートル.以上,粗大ごみ,,
トタン板,資源品（金属類）,長さ3メートル以下にする,
どてら,,不燃ごみ,
土鍋,,不燃ごみ,
ドライバー（工具）,,資源品（金属類）（空カン用袋）,
ドライバー（ゴルフクラブ）,,資源品（金属類）,
ドライヤー,,不燃ごみ,
ドラム缶,,資源品（金属類）,自宅で使用していたものに限る
トランク,,不燃ごみ,金属製なら「資源品（金属類）」
トランポリン（家庭用遊具）,,資源品（金属類）,フレームが金属製のもの
ドリンク剤のびん,,資源品(空ビン類）,
トレイ（発泡トレイ）,,容器包装プラスチック類,できるだけ回収協力店へ
ドレッサー,,粗大ごみ,1辺1.2メートル未満のものは「不燃ごみ」
ドレッシングの容器,プラスチック製,容器包装プラスチック類,中を軽くすすぐ
ドレッシングの容器,ＰＥＴ製,容器包装プラスチック類,中を軽くすすぐ,
ドレッシングの容器,ＰＥＴ製（中身がノンオイル）,資源品（ＰＥＴボトル）,中を軽くすすぐ,
ドレッシングの容器,ガラス製,資源品（空ビン類）,中を軽くすすぐ,
泥,側溝清掃で出たもの,収集できないごみ,道路管理課に依頼する電話番号7167-1299
トロフィー,,不燃ごみ,
とんかち,,資源品（金属類）（空カン用袋）,
品名,形態・材質,ごみ種別,出し方の注意
ナイフ,,資源品（金属類）（空カン用袋）,危なくないよう刃先をくるむ
苗ポット（黒ビニール等の軟らかいもの）,容器包装プラスチック類,軽くすすいでから出す,
長靴,,不燃ごみ,
長座布団,,粗大ごみ,5枚で1点扱い/座布団でも同じ/直接搬入は枚数制限なし
流し台,,不燃ごみ,自己施工のみ/1辺1.2メートル以上のものは「粗大ごみ」
夏掛け布団,,粗大ごみ,5枚で1点扱い（座布団と同じ）
納豆容器（発泡トレイ等）,,容器包装プラスチック類,水につけて粘りを取る
ナビゲーション,,不燃ごみ,
生ごみ処理機,機械式,不燃ごみ,
生ごみ処理機,コンポスト,不燃ごみ,,
"鍋（テフロン加工、ホウロウ鍋含む）",資源品（金属類）（空カン用袋）,,
鍋つかみ,,不燃ごみ,
波板,金属製（トタン板）,資源品（金属類）,長さ3メートル以下にする
波板,プラスチック製,不燃ごみ,1辺1.2メートル未満にする,
荷造り紐,,不燃ごみ,できるだけ1メートル程度に切る
乳酸菌飲料の容器,,容器包装プラスチック類,アルミ製のふたは「可燃ごみ」
人形,着せ替え人形など,不燃ごみ,
人形,雛人形、五月人形",不燃ごみ,販売店によっては引き取ることも可,
人形ケース,,不燃ごみ,ガラス面の対角線をガムテープ等で×に貼る
人形の服,,可燃ごみ,
ぬいぐるみ,布製,不燃ごみ,布製の小さなものは「可燃ごみ」/1辺が1.2メートル以上のものは「粗大ごみ」
布くず,,可燃ごみ,大きさの目安はハンカチ以下
ネガフィルム,,不燃ごみ,
ネクタイ,,資源品(古着・古布類）,
猫砂,,可燃ごみ,少量ずつ分けて出す
ネット,"みかん、玉ねぎなど",容器包装プラスチック類,
ネット,大型・ナイロン製,不燃ごみ,,
寝袋,,不燃ごみ,
"粘土（油粘土、紙粘土）",,可燃ごみ,
農機具類,"農具（鍬、鎌等）",資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
農機具類,芝刈り機など（エンジン無）,資源品（金属類）（空カン用袋）,30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,
農業用ビニール,家庭菜園等,不燃ごみ,
ノート,,資源品（雑誌・ざつ紙類）,針金でらせん状に綴じたものも可
農薬,,収集できないごみ,農薬は使い切ること
農薬のビン,,不燃ごみ,中は空にする
のこぎり（糸のこぎりを含む）,,資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
飲み薬のビン,,資源品(空ビン類）,
品名,形態・材質,ごみ種別,出し方の注意
ハーモニカ,,資源品（金属類）（空カン用袋）,
バーベキューセット,,資源品（金属類）,
バイク,,収集できないごみ,資源有効利用促進法に基づいて処理/二輪車リサイクルコールセンター電話番号03-3589-8075
パイプ椅子,,資源品（金属類）,クッション部はそのままでよい
パイプベッド,パイプ部,資源品（金属類）,2つ折タイプであればスプリングなしマットレスや板が外せなくてもそのままで可
パイプベッド,板部のみ,不燃ごみ,1辺1.2メートル未満にする,
廃油,食用油,可燃ごみ,固めるか布などに染み込ませる
廃油,灯油・石油等の燃料油,収集できないごみ,購入店やガソリンスタンドへ引取りを依頼する（有料の場合あり）,
バインダー,,不燃ごみ,金具付きの事務用品
はがき,,資源品（雑誌・ざつ紙類）,
はかり,,不燃ごみ,
履物,,不燃ごみ,
端切れ布,,可燃ごみ,
白色トレイ,,容器包装プラスチック類,できるだけ回収協力店へ
剥製,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
刷毛,,不燃ごみ,
バケツ,プラスチック製,不燃ごみ,
バケツ,金属製,資源品（金属類）,,
箱,厚紙等,資源品（雑誌・ざつ紙類）,たたんでひもで束ねる
箱,段ボール,資源品（段ボール）,たたんでひもで束ねる,
箱,木箱,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」,
はさみ,,資源品（金属類）（空カン用袋）,危なくないよう刃先を紙でくるむ
はしご,金属製,資源品（金属類）,
はしご,木製,不燃ごみ,長さ1.2メートル未満にする,
バスケットボール,,不燃ごみ,
バスタオル,,資源品(古着・古布類）,
バスマット,,不燃ごみ,
パソコン,"本体、ノートパソコン",収集できないごみ,資源有効利用促進法に基づいて処理→処理方法を調べる
パソコン,ディスプレイ,収集できないごみ,資源有効利用促進法に基づいて処理→処理方法を調べる,
パソコン,"キーボード、マウス、ハードディスク、ドライブ、スキャナー等の周辺機器",不燃ごみ,,
パソコン,プリンター,不燃ごみ,,
パソコンカートリッジ（プリンタ用）,,不燃ごみ,
パソコンケーブル,,不燃ごみ,
パソコンチェア,足などが金属製,資源品（金属類）,座るところは金属でなくても可
パソコンチェア,木製・プラスチック製,不燃ごみ,,
パソコンデスク,,資源品（金属類）,木製で1辺1.2メートル未満なら「不燃ごみ」
パソコンモニター（ディスプレイ）,,収集できないごみ,資源有効利用促進法に基づいて処理→処理方法を調べる
パター（ゴルフクラブ）,,資源品（金属類）,
バターナイフ,,資源品（金属類）（空カン用袋）,柄は金属でなくても可
パチンコ台,,収集できないごみ,北部クリーンセンターへ直接搬入可
"バッグ（皮製、布製、プラスチック製）",,不燃ごみ,
バッテリー,,収集できないごみ,購入店やカー用品店へ引取りを依頼する（有料の場合あり）
バット,"木製、プラスチック製",不燃ごみ,
バット,金属製,資源品（金属類）（空カン用袋）,,
発泡スチロール,,容器包装プラスチック類,大きいものは紐で束ねて排出可
発泡トレイ,,容器包装プラスチック類,できるだけ回収協力店へ
花ばさみ,,資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
花火,,可燃ごみ,必ず水で湿らせてから指定ごみ袋へ
羽根布団,,粗大ごみ,3枚で1点扱い（布団と同じ）
歯ブラシ,,不燃ごみ,
歯磨きチューブ,プラスチック製,容器包装プラスチック類,中身を使い切る
歯磨きチューブ,金属製,資源品（金属類）（空カン用袋）,中身を使い切る,
刃物,,資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
パラソル,,不燃ごみ,
針,,資源品（金属類）（空カン用袋）,紙に包んで中味を明記する
針金,,資源品（金属類）（空カン用袋）,ビニールコーティングされていても可
針金ハンガー,,資源品（金属類）,ビニールコーティングされていても可/空カン回収袋には入れない
バルサン（殺虫剤）,缶（使用済み）,資源品（金属類）（空カン用袋）,中身を使い切る
バルサン（殺虫剤）,プラスチック（使用済み）,容器包装プラスチック類,中身を使い切る,
パレット（運搬道具）,,収集できないごみ,木製・プラスチック製とも産業廃棄物として処理
パレット（絵画道具）,,不燃ごみ,
バレーボール,,不燃ごみ,
ハロゲンヒーター,,不燃ごみ,
ハンガー,針金ハンガー,資源品（金属類）,ビニールコーティングされていても可/空カン回収袋には入れない
ハンガー,"木製、プラスチック製",不燃ごみ,,
ハンカチ,,資源品(古着・古布類）,
半紙,,可燃ごみ,未使用のものは「資源品（雑誌・ざつ紙類）」
はんてん,,不燃ごみ,
バンパー,金属製,資源品（金属類）,個人で取り替えたもののみ
バンパー,金属製以外,収集できないごみ,個人で取り替えたもののみ北部クリーンセンターへ直接搬入可,
パンの袋の留め具,針金状,可燃ごみ,
パンの袋の留め具,プラスチック製,容器包装プラスチック類,,
ハンマー,,資源品（金属類）（空カン用袋）,
パンヤ,,不燃ごみ,
パン焼き器,,不燃ごみ,"内釜は「資源品（金属類）」、本体周りがステンレス製なら本体も「資源品（金属類）」"
ピアニカ,,不燃ごみ,
ピアノ,ピアノ,収集できないごみ,業者が有料で引き取り
ピアノ,電子ピアノ,粗大ごみ,,
ピアノ,キーボード,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」,
ピアノカバー,,不燃ごみ,
ＢＳアンテナ,,資源品（金属類）,
ビーズクッション,,不燃ごみ,
ピータイル,,不燃ごみ,自己施工のみ
ビー玉,,不燃ごみ,
ビーチサンダル,,不燃ごみ,
ビーチボール,,不燃ごみ,
ＰＰバンド,,不燃ごみ,できるだけ1メートルほどに切って出す
ひげそり,柄が金属製,資源品（金属類）（空きカン用袋）,危なくないよう刃先をくるむ
ひげそり,柄がプラスチック製,不燃ごみ,,
ひげそり,電動のもの,不燃ごみ,,
ビデオカメラ,,不燃ごみ,
ビデオテープ,,可燃ごみ,紐で束ねても排出可/ケースに入れたままで可
ビデオデッキ,,不燃ごみ,
雛人形,,不燃ごみ,販売店によっては引き取ることも可
ビニールカーペット,,不燃ごみ,1辺1.2メートル未満にたたむ
ビニール傘,,不燃ごみ,金属製の骨だけなら「資源品（金属類）」
ビニールカッパ,,不燃ごみ,
ビニールサンダル,,不燃ごみ,
"ビニールシート（レジャーシート、ブルーシート）",不燃ごみ,,
ビニールテープ,梱包用,不燃ごみ,できるだけ1メートルほどに切って出す
ビニールテープ,粘着テープ,可燃ごみ,,
ビニールテーブルクロス,,不燃ごみ,1辺1.2メートル未満にたたむ
ビニール手袋,,不燃ごみ,
ビニールハウス,農家から排出,収集できないごみ,柏市園芸用廃プラスチック対策協議会で処理可能/問い合わせ先は柏市農政課?電話番号7167-1143
ビニールハウス,家庭菜園等,不燃ごみ,,
ビニールバッグ,,不燃ごみ,
ビニール紐,,不燃ごみ,できるだけ1メートルほどに切って出す
ビニール袋,,容器包装プラスチック類,
ビニール風呂敷,,不燃ごみ,1辺1.2メートル未満にたたむ
ビニールホース,,不燃ごみ,
火鉢,,不燃ごみ,
"ひも（すずらんテープ、ＰＰバンド）",,不燃ごみ,
ひも（糸をよったもの）,,可燃ごみ,
